ID,target
ID_0000005111,0.85346323
ID_0000389416,0.28766897
ID_0000634789,0.46226946
ID_0000778100,0.9644933
ID_0001123210,0.70313084
ID_0001249054,0.88126516
ID_0001660561,0.6512496
ID_0002213924,0.3074154
ID_0002486764,0.50780153
ID_0002553917,0.9338073
ID_0002645013,0.7313018
ID_0002714519,0.1521909
ID_0002723750,0.62910706
ID_0002849739,0.30256584
ID_0002853992,0.96141
ID_0003422381,0.8971705
ID_0003479423,0.3707798
ID_0003726729,0.4563276
ID_0003855493,0.23701984
ID_0003976333,0.4756862
ID_0004033090,0.606282
ID_0004095086,0.9097813
ID_0004099097,0.14783172
ID_0004151537,0.6817354
ID_0004983372,0.57540375
ID_0005147402,0.52122337
ID_0005304696,0.9533155
ID_0005660674,0.6816616
ID_0005808105,0.2324529
ID_0005923976,0.31017658
ID_0006077127,0.42850336
ID_0006182922,0.8973491
ID_0006222530,0.87409365
ID_0006380514,0.9617557
ID_0006974001,0.6252269
ID_0007119398,0.102709666
ID_0007594833,0.45333
ID_0007747658,0.6931687
ID_0008690216,0.34913877
ID_0008735968,0.20422061
ID_0009257088,0.64736044
ID_0009464009,0.2840524
ID_0009531639,0.94749177
ID_0009576322,0.35702947
ID_0010271988,0.36341223
ID_0010699737,0.5138017
ID_0011054602,0.3891548
ID_0012048163,0.5327818
ID_0012103490,0.32707912
ID_0012357542,0.20893916
ID_0012758673,0.7235486
ID_0013491419,0.22729255
ID_0013908217,0.9102111
ID_0014140037,0.9514545
ID_0014492787,0.40852574
ID_0014526463,0.12472933
ID_0015070360,0.7875643
ID_0015476307,0.42131367
ID_0015499420,0.6686803
ID_0015580205,0.5319827
ID_0015758067,0.4549739
ID_0015848831,0.701056
ID_0015882445,0.9603721
ID_0015975996,0.39618212
ID_0016196161,0.47161308
ID_0016221588,0.74610716
ID_0016453639,0.4060953
ID_0016482393,0.8307049
ID_0016608790,0.45290107
ID_0016648066,0.7764499
ID_0016883714,0.2539786
ID_0016984152,0.81877005
ID_0017119322,0.8230135
ID_0017282018,0.17645672
ID_0017289067,0.5370403
ID_0017295642,0.3066035
ID_0017343426,0.23550984
ID_0017605591,0.92072475
ID_0017606411,0.34437826
ID_0017951401,0.6276912
ID_0018084982,0.7106249
ID_0018095246,0.56497383
ID_0018312252,0.38358518
ID_0018417047,0.28195268
ID_0018498377,0.2499043
ID_0018717832,0.47741503
ID_0018807034,0.18190283
ID_0019235729,0.54743993
ID_0019711710,0.34603432
ID_0019841061,0.50550544
ID_0019987147,0.10938502
ID_0020029610,0.6205646
ID_0020056310,0.87495923
ID_0020192252,0.18412142
ID_0020658642,0.89328283
ID_0020860272,0.8138017
ID_0021009623,0.6224256
ID_0021135558,0.5190235
ID_0021406723,0.7133485
ID_0021560610,0.91895044
ID_0021707052,0.79464674
ID_0021838493,0.18552136
ID_0021875172,0.9736018
ID_0021947066,0.77071065
ID_0022642344,0.4345904
ID_0022905001,0.764878
ID_0023091480,0.6544378
ID_0023114836,0.30714864
ID_0023295131,0.7048355
ID_0023400072,0.9330524
ID_0023533659,0.6958246
ID_0023716550,0.310591
ID_0024009090,0.8672861
ID_0024298062,0.18342233
ID_0024434838,0.77644217
ID_0024455207,0.32166994
ID_0024589389,0.56652826
ID_0024657040,0.65095526
ID_0024740393,0.7335047
ID_0024827827,0.27139446
ID_0025522332,0.7339122
ID_0025683880,0.9458948
ID_0025705978,0.84868103
ID_0025902228,0.36463135
ID_0026011366,0.45141077
ID_0026081279,0.6772421
ID_0026288975,0.63428193
ID_0026796221,0.8891838
ID_0027368167,0.9047792
ID_0027432981,0.45038068
ID_0027557558,0.7667026
ID_0027684864,0.7147338
ID_0027741016,0.49340695
ID_0027746535,0.8311787
ID_0027869170,0.25383103
ID_0027886850,0.13719314
ID_0027965350,0.90089375
ID_0028859093,0.6236493
ID_0028893500,0.8982292
ID_0029063733,0.37882417
ID_0029141904,0.5354387
ID_0029151366,0.10162895
ID_0029489195,0.9567356
ID_0029540863,0.80548096
ID_0029696910,0.3249863
ID_0029891762,0.95997584
ID_0030116180,0.38911897
ID_0030213437,0.812993
ID_0030350706,0.5234413
ID_0030431036,0.5102749
ID_0030431329,0.36599308
ID_0030530040,0.43701586
ID_0030721205,0.9103088
ID_0031003115,0.3146595
ID_0031332613,0.6858874
ID_0031386041,0.73159885
ID_0031510468,0.12179794
ID_0031794263,0.8754077
ID_0031871792,0.87500715
ID_0031874085,0.26734883
ID_0032030841,0.67754513
ID_0032353650,0.2107251
ID_0032563115,0.47915858
ID_0032723139,0.39133102
ID_0032805930,0.2324529
ID_0033069299,0.7308185
ID_0033323829,0.29029056
ID_0033324714,0.33220196
ID_0033331184,0.75655764
ID_0033484448,0.36989915
ID_0033505554,0.8135764
ID_0033664462,0.6492978
ID_0033743501,0.35365325
ID_0033970032,0.09881026
ID_0034228388,0.9483072
ID_0034330738,0.4302649
ID_0034479881,0.52448213
ID_0034604622,0.65640336
ID_0035497015,0.9074954
ID_0035729420,0.4563135
ID_0036081808,0.35444462
ID_0036259791,0.9257391
ID_0036400153,0.60535383
ID_0036480267,0.20469445
ID_0036757999,0.30730402
ID_0036960601,0.73390925
ID_0036989833,0.19158308
ID_0037083770,0.848651
ID_0037503466,0.7148058
ID_0037598936,0.87954354
ID_0037700613,0.92143106
ID_0037736500,0.24879925
ID_0037795440,0.30563292
ID_0038005730,0.47828466
ID_0038683404,0.6711016
ID_0038927879,0.44872037
ID_0039428361,0.5420555
ID_0039743451,0.3482018
ID_0039763885,0.97991747
ID_0039966384,0.8327979
ID_0040136875,0.2682352
ID_0040364299,0.50186384
ID_0041007010,0.59471476
ID_0041625994,0.93507737
ID_0042021950,0.7677598
ID_0042094540,0.60509634
ID_0042259791,0.63297397
ID_0042318738,0.8598203
ID_0042969286,0.3179215
ID_0043732343,0.46575215
ID_0043860693,0.8645078
ID_0044081162,0.58441794
ID_0044213049,0.9387649
ID_0044689389,0.965435
ID_0044764317,0.2745036
ID_0044777072,0.9874785
ID_0045030975,0.8871813
ID_0045043182,0.7036889
ID_0045360058,0.522532
ID_0045791806,0.78828746
ID_0046127037,0.97350097
ID_0046266165,0.9204612
ID_0046591069,0.4392694
ID_0046880250,0.45306993
ID_0047213763,0.70031965
ID_0047398748,0.84236014
ID_0047444925,0.54281425
ID_0047607369,0.18674192
ID_0047700612,0.90131897
ID_0048001203,0.3549907
ID_0048256667,0.50538826
ID_0048339448,0.9221714
ID_0048583431,0.6631157
ID_0048669795,0.57210624
ID_0049026889,0.2945677
ID_0049410220,0.8075511
ID_0049504067,0.7038858
ID_0049949150,0.37761596
ID_0050005232,0.74310106
ID_0050453315,0.6069232
ID_0050650732,0.7593772
ID_0050718768,0.35396037
ID_0050767675,0.30580297
ID_0050862785,0.35398924
ID_0050985711,0.47436628
ID_0051115885,0.407031
ID_0051482210,0.71566576
ID_0051645755,0.9163347
ID_0051654187,0.34498063
ID_0051843713,0.8032434
ID_0051980812,0.40205184
ID_0052183684,0.98132163
ID_0052228680,0.71553516
ID_0052276112,0.4348333
ID_0052662522,0.6664906
ID_0053224649,0.22729255
ID_0053409680,0.85316294
ID_0053555404,0.954529
ID_0053706034,0.526273
ID_0053965646,0.48638365
ID_0054176518,0.7392775
ID_0054646902,0.41408774
ID_0055092625,0.8568979
